 Table of Contents                                                                                        Page  
 PART ONE: COMMON PROVISIONS                                                                              p. 6  
 ARTICLE 1: Objective                                                                                     p. 6  
 ARTICLE 2: Definitions                                                                                   p. 7  
 ARTICLE 3: Territorial scope                                                                             p. 9  
 ARTICLE 4: Methods and principles relating to the effect,                                                p. 11 
 ARTICLE 5: Good faith                                                                                    p. 12 
 ARTICLE 6: References to Union law                                                                       p. 13 
 ARTICLE 7: References to the Union and to Member States                                                  p. 14 
 ARTICLE 8: Access to networks, information systems and databases                                         p. 15 
 PART TWO: CITIZENS' RIGHTS                                                                               p. 16 
 TITLE I: GENERAL PROVISIONS                                                                              p. 16 
 ARTICLE 9: Definitions                                                                                   p. 16 
 ARTICLE 10: Personal scope                                                                               p. 19 
 ARTICLE 11: Continuity of residence                                                                      p. 23 
 ARTICLE 12: Non-discrimination                                                                           p. 23 
 TITLE II: RIGHTS AND OBLIGATIONS                                                                         p. 24 
 CHAPTER 1: RIGHTS RELATED TO RESIDENCE, RESIDENCE DOCUMENTS                                              p. 24 
 ARTICLE 13: Residence rights                                                                             p. 24 
 ARTICLE 14: Right of exit and of entry                                                                   p. 26 
 ARTICLE 15: Right of permanent residence                                                                 p. 27 
 ARTICLE 16: Accumulation of periods                                                                      p. 28 
 ARTICLE 17: Status and changes                                                                           p. 29 
 ARTICLE 18: Issuance of residence documents                                                              p. 30 
 ARTICLE 19: Issuance of residence documents during the transition period                                 p. 39 
 ARTICLE 20: Restrictions of the rights of residence and entry                                            p. 40 
 ARTICLE 21: Safeguards and right of appeal                                                               p. 41 
 ARTICLE 22: Related rights                                                                               p. 42 
 ARTICLE 23: Equal treatment                                                                              p. 42 
 CHAPTER 2: RIGHTS OF WORKERS AND SELF-EMPLOYED PERSONS                                                   p. 44 
 ARTICLE 24: Rights of workers                                                                            p. 44 
 ARTICLE 25: Rights of self-employed persons                                                              p. 46 
 ARTICLE 26: Issuance of a document identifying frontier workers' rights                                  p. 47 
 CHAPTER 3: PROFESSIONAL QUALIFICATIONS                                                                   p. 48 
 ARTICLE 27: Recognised professional qualifications                                                       p. 48 
 ARTICLE 28: Ongoing procedures on the recognition of professional qualifications                         p. 51 
 ARTICLE 29: Administrative cooperation on recognition of professional qualifications                     p. 52 
 TITLE III: COORDINATION OF SOCIAL SECURITY SYSTEMS                                                       p. 53 
 ARTICLE 30: Persons covered                                                                              p. 53 
 ARTICLE 31: Social security coordination rules                                                           p. 56 
 ARTICLE 32: Special situations covered                                                                   p. 58 
 ARTICLE 33: Nationals of Iceland, Liechtenstein, Norway and Switzerland                                  p. 61 
 ARTICLE 34: Administrative cooperation                                                                   p. 62 
 ARTICLE 35: Reimbursement, recovery and offsetting                                                       p. 63 
 ARTICLE 36: Development of law and adaptations of Union acts                                             p. 64 
 TITLE IV: OTHER PROVISIONS                                                                               p. 67 
 ARTICLE 37: Publicity                                                                                    p. 67 
 ARTICLE 38: More favourable provisions                                                                   p. 67 
 ARTICLE 39: Life-long protection                                                                         p. 68 
 PART THREE: SEPARATION PROVISIONS                                                                        p. 69 
 TITLE I: GOODS PLACED ON THE MARKET                                                                      p. 69 
 ARTICLE 40: Definitions                                                                                  p. 69 
 ARTICLE 41: Continued circulation of goods placed on the market                                          p. 72 
 ARTICLE 42: Proof of placing on the market                                                               p. 73 
 ARTICLE 43: Market surveillance                                                                          p. 74 
 ARTICLE 44: Transfer of files and documents relating to ongoing procedures                               p. 75 
 ARTICLE 45: Making available of information in relation to past authorisation procedures                 p. 76 
 ARTICLE 46: Making available of information held by notified bodies                                      p. 77 
 TITLE II: ONGOING CUSTOMS PROCEDURES                                                                     p. 78 
 ARTICLE 47: Union status of goods                                                                        p. 78 
 ARTICLE 48: Entry summary declaration and pre-departure declaration                                      p. 81 
 ARTICLE 49: Ending of temporary storage or customs procedures                                            p. 82 
 ARTICLE 50: Access to relevant networks, information systems and databases                               p. 84 
 TITLE III: ONGOING VALUE ADDED TAX AND EXCISE DUTY MATTERS                                               p. 85 
 ARTICLE 51: Value added tax (VAT)                                                                        p. 85 
 ARTICLE 52: Excise goods                                                                                 p. 87 
 ARTICLE 53: Access to relevant networks, information systems and databases                               p. 87 
 TITLE IV: INTELLECTUAL PROPERTY                                                                          p. 88 
 ARTICLE 54: Continued protection in the United Kingdom of registered or granted rights                   p. 88 
 ARTICLE 55: Registration procedure                                                                       p. 95 
 ARTICLE 56: Continued protection in the United Kingdom                                                   p. 96 
 ARTICLE 57: Continued protection in the United Kingdom of unregistered Community designs                 p. 97 
 ARTICLE 58: Continued protection of databases                                                            p. 98 
 ARTICLE 59: Right of priority with respect to pending applications                                       p. 99 
 ARTICLE 60: Pending applications for supplementary protection certificates                               p. 101
 ARTICLE 61: Exhaustion of rights                                                                         p. 102
 TITLE V: ONGOING POLICE AND JUDICIAL COOPERATION IN CRIMINAL MATTERS                                     p. 103
 ARTICLE 62: Ongoing judicial cooperation proceedings in criminal matters                                 p. 103
 ARTICLE 63: Ongoing law enforcement cooperation proceedings,                                             p. 110
 ARTICLE 64: Confirmation of receipt or arrest                                                            p. 115
 ARTICLE 65: Other applicable Union acts                                                                  p. 116
 TITLE VI: ONGOING JUDICIAL COOPERATION IN CIVIL AND COMMERCIAL MATTERS                                   p. 117
 ARTICLE 66: Applicable law in contractual and non-contractual matters                                    p. 117
 ARTICLE 67: Jurisdiction, recognition and enforcement of judicial decisions,                             p. 118
 ARTICLE 68: Ongoing judicial cooperation procedures                                                      p. 123
 ARTICLE 69: Other applicable provisions                                                                  p. 125
 TITLE VII: DATA AND INFORMATION PROCESSED OR OBTAINED                                                    p. 127
 ARTICLE 70: Definition                                                                                   p. 127
 ARTICLE 71: Protection of personal data                                                                  p. 128
 ARTICLE 72: Confidential treatment and restricted use of data and information                            p. 129
 ARTICLE 73: Treatment of data and information obtained from the United Kingdom                           p. 130
 ARTICLE 74: Information security                                                                         p. 131
 TITLE VIII: ONGOING PUBLIC PROCUREMENT AND SIMILAR PROCEDURES                                            p. 132
 ARTICLE 75: Definition                                                                                   p. 133
 ARTICLE 76: Rules applicable to ongoing procedures                                                       p. 134
 ARTICLE 77: Review procedures                                                                            p. 136
 ARTICLE 78: Cooperation                                                                                  p. 137
 TITLE IX: EURATOM RELATED ISSUES                                                                         p. 138
 ARTICLE 79: Definitions                                                                                  p. 138
 ARTICLE 80: End of Community responsibility for matters related to the United Kingdom                    p. 139
 ARTICLE 81: Safeguards                                                                                   p. 140
 ARTICLE 82: Specific obligations under international agreements                                          p. 141
 ARTICLE 83: Ownership and rights of use and consumption                                                  p. 141
 ARTICLE 84: Equipment and other property related to the provision of safeguards                          p. 144
 ARTICLE 85: Spent fuel and radioactive waste                                                             p. 144
 TITLE X: UNION JUDICIAL AND ADMINISTRATIVE PROCEDURES                                                    p. 145
 CHAPTER 1: JUDICIAL PROCEDURES                                                                           p. 145
 ARTICLE 86: Pending cases before the Court of Justice of the European Union                              p. 145
 ARTICLE 87: New cases before the Court of Justice                                                        p. 146
 ARTICLE 88: Procedural rules                                                                             p. 147
 ARTICLE 89: Binding force and enforceability of judgments and orders                                     p. 148
 ARTICLE 90: Right to intervene and participate in the procedure                                          p. 149
 ARTICLE 91: Representation before the Court                                                              p. 150
 CHAPTER 2: ADMINISTRATIVE PROCEDURES                                                                     p. 152
 ARTICLE 92: Ongoing administrative procedures                                                            p. 152
 ARTICLE 93: New State aid and European Anti-Fraud Office procedures                                      p. 156
 ARTICLE 94: Procedural rules                                                                             p. 158
 ARTICLE 95: Binding force and enforceability of decisions                                                p. 159
 ARTICLE 96: Other ongoing procedures and reporting obligations                                           p. 160
 ARTICLE 97: Representation in ongoing proceedings                                                        p. 166
 TITLE XI: ADMINISTRATIVE COOPERATION PROCEDURES                                                          p. 167
 ARTICLE 98: Administrative cooperation for customs                                                       p. 167
 ARTICLE 99: Administrative cooperation for matters related to indirect tax                               p. 168
 ARTICLE 100: Mutual assistance for the recovery of claims relating                                       p. 170
 TITLE XII: PRIVILEGES AND IMMUNITIES                                                                     p. 171
 ARTICLE 101: Definitions                                                                                 p. 171
 CHAPTER 1: PROPERTY, FUNDS, ASSETS AND OPERATIONS OF THE UNION                                           p. 172
 ARTICLE 102: Inviolability                                                                               p. 172
 ARTICLE 103: Archives                                                                                    p. 173
 ARTICLE 104: Taxation                                                                                    p. 173
 CHAPTER 2: COMMUNICATIONS                                                                                p. 174
 ARTICLE 105: Communications                                                                              p. 174
 CHAPTER 3: MEMBERS OF THE EUROPEAN PARLIAMENT                                                            p. 175
 ARTICLE 106: Immunity of members of the European Parliament                                              p. 175
 ARTICLE 107: Social security                                                                             p. 176
 ARTICLE 108: Avoidance of double taxation on pensions and transitional allowances                        p. 177
 CHAPTER 4: REPRESENTATIVES OF MEMBER STATES AND OF THE UNITED KINGDOM                                    p. 178
 ARTICLE 109: Privileges, immunities and facilities                                                       p. 178
 CHAPTER 5: MEMBERS OF THE INSTITUTIONS, OFFICIALS AND OTHER SERVANTS                                     p. 180
 ARTICLE 110: Privileges and Immunities                                                                   p. 180
 ARTICLE 111: Taxation                                                                                    p. 182
 ARTICLE 112: Domicile for tax purposes                                                                   p. 182
 ARTICLE 113: Social security contributions                                                               p. 183
 ARTICLE 114: Transfer of pension rights                                                                  p. 184
 ARTICLE 115: Unemployment insurance                                                                      p. 185
 CHAPTER 6: OTHER PROVISIONS                                                                              p. 185
 ARTICLE 116: Waiver of immunities and cooperation                                                        p. 185
 ARTICLE 117: European Central Bank                                                                       p. 186
 ARTICLE 118: European Investment Bank                                                                    p. 188
 ARTICLE 119: Host agreements                                                                             p. 189
 TITLE XIII: OTHER ISSUES RELATING TO THE FUNCTIONING                                                     p. 190
 ARTICLE 120: Obligation of professional secrecy                                                          p. 190
 ARTICLE 121: Obligation of professional discretion                                                       p. 191
 ARTICLE 122: Access to documents                                                                         p. 191
 ARTICLE 123: European Central Bank                                                                       p. 193
 ARTICLE 124: European Investment Bank                                                                    p. 194
 ARTICLE 125: European Schools                                                                            p. 195
 PART FOUR: TRANSITION                                                                                    p. 196
 ARTICLE 126: Transition period                                                                           p. 196
 ARTICLE 127: Scope of the transition                                                                     p. 196
 ARTICLE 128: Institutional arrangements                                                                  p. 201
 ARTICLE 129: Specific arrangements relating to the Union's external action                               p. 203
 ARTICLE 130: Specific arrangements relating to fishing opportunities                                     p. 206
 ARTICLE 131: Supervision and enforcement                                                                 p. 207
 ARTICLE 132: Extension of the transition period                                                          p. 207
 PART FIVE: FINANCIAL PROVISIONS                                                                          p. 210
 CHAPTER 1: GENERAL PROVISIONS                                                                            p. 210
 ARTICLE 133: Currency to be used between the Union and the United Kingdom                                p. 210
 ARTICLE 134: Facility offered to auditors in relation to the financial provisions                        p. 211
